measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Uganda,Both,All ages,Non-communicable diseases,Number,2019,85416.04948402512,100340.12533231714,71638.12774443981
Deaths,Uganda,Both,All ages,Non-communicable diseases,Rate,2019,207.73468583262527,244.03053686313953,174.2263198839689
Deaths,Iran (Islamic Republic of),Both,All ages,Non-communicable diseases,Number,2019,326507.75471081794,335734.17623021133,318267.7426061219
Deaths,Iran (Islamic Republic of),Both,All ages,Non-communicable diseases,Rate,2019,387.32616574797174,398.27118747906746,377.5512913439762
Deaths,Philippines,Both,All ages,Non-communicable diseases,Number,2019,443596.3192553828,516592.66894434567,375517.88814851025
Deaths,Philippines,Both,All ages,Non-communicable diseases,Rate,2019,395.56392439352953,460.6562646497274,334.85699287436665
Deaths,Russian Federation,Both,All ages,Injuries,Number,2019,140329.97577016777,162551.53900197128,119788.0311894746
Deaths,Russian Federation,Both,All ages,Injuries,Rate,2019,95.6464260348542,110.7922499571111,81.64540043667964
Deaths,Croatia,Both,All ages,Total burden related to hepatitis B,Number,2019,262.61673249360945,362.9094677180644,183.9738811889189
Deaths,Croatia,Both,All ages,Total burden related to hepatitis B,Rate,2019,6.1822684219724575,8.54326272741521,4.330934686995407
Deaths,Croatia,Both,All ages,Total burden related to hepatitis C,Number,2019,271.1020129130213,379.2219873296552,188.88154842932158
Deaths,Croatia,Both,All ages,Total burden related to hepatitis C,Rate,2019,6.382020664300679,8.927276243690295,4.446466229550978
Deaths,Croatia,Both,All ages,Total burden related to Non-alcoholic fatty liver disease (NAFLD),Number,2019,103.36940890218713,145.86726780710825,71.89319157533016
Deaths,Croatia,Both,All ages,Total burden related to Non-alcoholic fatty liver disease (NAFLD),Rate,2019,2.4334223733040385,3.433865751814692,1.6924397916716758
Deaths,Croatia,Both,All ages,Total cancers,Number,2019,13864.0813541813,17022.457616781034,11229.639666260935
Deaths,Croatia,Both,All ages,Total cancers,Rate,2019,326.37475739554435,400.726188271918,264.3572861471946
Deaths,Czechia,Both,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2019,4140.708196020052,4977.3596254226695,3444.8995227540986
Deaths,Czechia,Both,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2019,38.903682446006776,46.76437196736991,32.36626942715789
Deaths,Switzerland,Both,All ages,Injuries,Number,2019,4284.418172883648,4604.108163813405,3803.9485330383213
Deaths,Switzerland,Both,All ages,Injuries,Rate,2019,48.824144319985834,52.46725048399117,43.34883399998703
Deaths,Armenia,Both,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2019,852.5996166425452,978.0849945037916,739.121641889133
Deaths,Armenia,Both,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2019,28.2348204059306,32.390413533493664,24.476866291655416
Deaths,Hungary,Both,All ages,Non-communicable diseases,Number,2019,121016.35955388685,141679.2667847359,103227.66848722819
Deaths,Hungary,Both,All ages,Non-communicable diseases,Rate,2019,1250.8910087103363,1464.4740727205824,1067.0174085290244
Deaths,Switzerland,Both,All ages,Total burden related to hepatitis B,Number,2019,212.40330829961175,273.28145482180014,162.8131029777492
Deaths,Switzerland,Both,All ages,Total burden related to hepatitis B,Rate,2019,2.420494302843178,3.114246241098086,1.855376883442745
Deaths,Switzerland,Both,All ages,Total burden related to hepatitis C,Number,2019,460.72611438514815,565.1485956851561,362.72159952154226
Deaths,Switzerland,Both,All ages,Total burden related to hepatitis C,Rate,2019,5.250318104590315,6.440290252853118,4.133483476263087
Deaths,Switzerland,Both,All ages,Total burden related to Non-alcoholic fatty liver disease (NAFLD),Number,2019,166.2666212979802,219.42976722419274,123.70594402902474
Deaths,Switzerland,Both,All ages,Total burden related to Non-alcoholic fatty liver disease (NAFLD),Rate,2019,1.8947323034962478,2.500566049052142,1.4097216053138057
Deaths,Switzerland,Both,All ages,Total cancers,Number,2019,19971.34318360908,21148.955507417108,18086.582709693834
Deaths,Switzerland,Both,All ages,Total cancers,Rate,2019,227.58836848183,241.00814025259052,206.1101155023579
Deaths,Denmark,Both,All ages,Total burden related to hepatitis C,Number,2019,289.15113573881445,363.1047467980211,226.08294150893738
Deaths,Denmark,Both,All ages,Total burden related to hepatitis C,Rate,2019,4.983016013633557,6.25747764503081,3.8961455747697045
Deaths,Denmark,Both,All ages,Total burden related to Non-alcoholic fatty liver disease (NAFLD),Number,2019,123.65637155966266,162.07599758789823,90.31887041110605
Deaths,Denmark,Both,All ages,Total burden related to Non-alcoholic fatty liver disease (NAFLD),Rate,2019,2.1310021075836567,2.793097420636276,1.5564883618453729
